mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
64	64	1/2	1/2	4/4	5	1	V(64)/VII	0	-4.4	/		d	i		V(64)/VII	V			64	VII			M	1	1	1, 0, 4		1	1	0	2	0.0	0.0	1.0	0.0
65	65	0	0	4/4	5	1	V(4)/VII					d	i		V(4)/VII	V			4	VII			M	1	1	1, 0, 2		1	1	0	5	0.0	0.0	3.5	0.0
65	65	1/2	1/2	4/4	5	1	V/VII					d	i		V/VII	V				VII			M	1	1	1, 5, 2		1	1	1	3	0.25	0.25	1.25	0.16666666666666666
66	66	0	0	4/4	5	1	ii					d	i		ii	ii							m	1	1	4, 1, 5		4	4	0	6	0.0	0.0	5.0	0.0
67	67	0	0	4/4	5	1	#viio6					d	i		#viio6	#vii	o	6					o	1	1	4, 1, 7		7	4	0	5	0.0	0.0	3.5	0.0
67	67	1/2	1/2	4/4	5	1	#viio6(#112)	0	-4.8	/		d	i		#viio6(#112)	#vii	o	6	#112				o	1	1	4, 1, 2	6	7	4	0	3	0.0	0.0	1.5	0.0
68	68	0	0	4/4	5	1	#viio6(2)					d	i		#viio6(2)	#vii	o	6	2				o	1	1	4, 1, 2		7	4	0	5	0.0	0.0	3.25	0.0
68	68	1/2	1/2	4/4	5	1	#viio6					d	i		#viio6	#vii	o	6					o	1	1	4, 1, 7		7	4	0	3	0.0	0.0	1.5	0.0
68	68	3/4	3/4	4/4	5	1	V64					d	i		V64	V		64					M	1	1	4, 3, 7		3	4	0	1	0.0	0.0	0.25	0.0
69	69	0	0	4/4	5	1	iii/IV					d	i		iii/IV	iii				IV			m	1	1	5, 2, 6		5	5	0	5	0.0	0.0	3.75	0.0
69	69	1/2	1/2	4/4	5	1	IV6					d	i		IV6	IV		6					M	1	1	5, 2, 1		1	5	0	2	0.0	0.0	0.75	0.0
69	69	3/4	3/4	4/4	5	1	IVM7/IV	0	-4.7	/		d	i		IVM7/IV	IV	M	7		IV			MM7	1	1	0, 4, 1, 5		0	0	0	2	0.0	0.0	0.5	0.0
70	70	0	0	4/4	5	1	V(4)/IV					d	i		V(4)/IV	V			4	IV			M	1	1	2, 1, 3		2	2	0	5	0.0	0.0	3.75	0.0
70	70	1/4	1/4	4/4	5	1	V/IV					d	i		V/IV	V				IV			M	1	1	2, 6, 3		2	2	1	3	0.25	0.125	1.125	0.1
71	71	0	0	4/4	5	1	IV\\					d	i		IV	IV						\\	M	1	1	1, 5, 2		1	1	0	5	0.0	0.0	5.0	0.0
72	72	0	0	3/2	5	1	ii					d	i		ii	ii							m	1	1	4, 1, 5		4	4	0	2	0.0	0.0	2.0	0.0
72	72	1	1	3/2	5	1	viio/VII					d	i		viio/VII	vii	o			VII			o	1	1	5, 2, -1		5	5	0	2	0.0	0.0	1.0	0.0
73	73	0	0	3/2	5	1	VII					d	i		VII	VII							M	1	1	0, 4, 1		0	0	0	3	0.0	0.0	3.0	0.0
73	73	1	1	3/2	5	1	IV					d	i		IV	IV							M	1	1	1, 5, 2		1	1	0	3	0.0	0.0	1.5	0.0
74	74	0	0	3/2	5	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	4.0	0.0
74	74	1	1	3/2	5	1	ii					d	i		ii	ii							m	1	1	4, 1, 5		4	4	0	4	0.0	0.0	2.0	0.0
75	75	0	0	3/2	5	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	0	6	0.0	0.0	5.0	0.0
75	75	1	1	3/2	5	1	IV					d	i		IV	IV							M	1	1	1, 5, 2		1	1	0	4	0.0	0.0	2.0	0.0
76	76	0	0	3/2	5	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	4.0	0.0
76	76	1	1	3/2	5	1	ii					d	i		ii	ii							m	1	1	4, 1, 5		4	4	0	4	0.0	0.0	2.0	0.0
77	77	0	0	3/2	5	1	III					d	i		III	III							M	1	1	-1, 3, 0		-1	-1	0	4	0.0	0.0	4.0	0.0
77	77	1	1	3/2	5	1	VII					d	i		VII	VII							M	1	1	0, 4, 1		0	0	0	4	0.0	0.0	2.0	0.0
78	78	0	0	3/2	5	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	6.0	0.0
79	79	0	0	4/4	5	1	V\\					d	i		V	V						\\	M	1	1	3, 7, 4		3	3	0	8	0.0	0.0	3.75	0.0
80	80	0	0	4/4	5	1	V(4)/v					d	i		V(4)/v	V			4	v			M	1	1	4, 3, 5		4	4	0	3	0.0	0.0	0.75	0.0
80	80	1/4	1/4	4/4	5	1	V/v					d	i		V/v	V				v			M	1	1	4, 8, 5		4	4	0	4	0.0	0.0	1.25	0.0
80	80	1/2	1/2	4/4	5	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	0	6	0.0	0.0	2.0	0.0
81	81	0	0	4/4	5	1	V(4)/v					d	i		V(4)/v	V			4	v			M	1	1	4, 3, 5		4	4	0	5	0.0	0.0	1.75	0.0
81	81	1/4	1/4	4/4	5	1	V/v					d	i		V/v	V				v			M	1	1	4, 8, 5		4	4	0	3	0.0	0.0	0.75	0.0
81	81	1/2	1/2	4/4	5	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	0	7	0.0	0.0	2.25	0.0
82	82	0	0	4/4	5	1	III6/v					d	i		III6/v	III		6		v			M	1	1	4, 1, 0		0	4	0	5	0.0	0.0	1.5	0.0
