mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
37	37	0	0	3/2	3	1	VII\\					g	i		VII	VII						\\	M	1	1	-1, 3, 0		-1.0	-1.0	0	5	0.0	0.0	3.5	0.0
38	38	0	0	3/2	3	1	III					g	i		III	III							M	1	1	-2, 2, -1		-2.0	-2.0	0	2	0.0	0.0	1.0	0.0
38	38	1/2	1/2	3/2	3	1	V/III					g	i		V/III	V				III			M	1	1	-1, 3, 0		-1.0	-1.0	0	5	0.0	0.0	3.0	0.0
39	39	0	0	3/2	3	1	III					g	i		III	III							M	1	1	-2, 2, -1		-2.0	-2.0	0	3	0.0	0.0	1.5	0.0
39	39	1/2	1/2	3/2	3	1	V/III					g	i		V/III	V				III			M	1	1	-1, 3, 0		-1.0	-1.0	0	5	0.0	0.0	3.0	0.0
40	40	0	0	3/2	3	1	III					g	i		III	III							M	1	1	-2, 2, -1		-2.0	-2.0	0	3	0.0	0.0	1.5	0.0
40	40	1/2	1/2	3/2	3	1	V/III					g	i		V/III	V				III			M	1	1	-1, 3, 0		-1.0	-1.0	0	5	0.0	0.0	3.0	0.0
41	41	0	0	3/2	3	1	III					g	i		III	III							M	1	1	-2, 2, -1		-2.0	-2.0	0	9	0.0	0.0	4.5	0.0
42	42	0	0	3/2	3	1	iv					g	i		iv	iv							m	1	1	0, -3, 1		0.0	0.0	0	3	0.0	0.0	1.5	0.0
42	42	1/2	1/2	3/2	3	1	V/IV					g	i		V/IV	V				IV			M	1	1	1, 5, 2		1.0	1.0	0	3	0.0	0.0	3.0	0.0
43	43	0	0	4/4	3	1	IV\\					g	i		IV	IV						\\	M	1	1	0, 4, 1		0.0	0.0	0	11	0.0	0.0	7.0	0.0
46	46	3/4	3/4	4/4	3	1	ii	0	-5.5	/	#viio6	g	i		ii	ii							m	1	1	3, 0, 4		3.0	3.0	0	2	0.0	0.0	0.5	0.0
47	47	0	0	4/4	3	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	0	2	0.0	0.0	2.0	0.0
48	48	0	0	4/4	3	1	V6					g	i		V6	V		6					M	1	1	6, 3, 2		2.0	6.0	0	2	0.0	0.0	1.0	0.0
48	48	1/2	1/2	4/4	3	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	0	2	0.0	0.0	0.75	0.0
49	49	0	0	4/4	3	1	V(4)/V					g	i		V(4)/V	V			4	V			M	1	1	3, 2, 4		3.0	3.0	0	2	0.0	0.0	2.0	0.0
49	49	1/2	1/2	4/4	3	1	V/V					g	i		V/V	V				V			M	1	1	3, 7, 4		3.0	3.0						
50	50	0	0	3/2	3	1	V					g	i		V	V							M	1	1	2, 6, 3		2.0	2.0	0	5	0.0	0.0	3.5	0.0
51	51	0	0	3/2	3	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	0	2	0.0	0.0	1.0	0.0
51	51	1/2	1/2	3/2	3	1	V					g	i		V	V							M	1	1	2, 6, 3		2.0	2.0	0	5	0.0	0.0	3.0	0.0
52	52	0	0	3/2	3	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	0	3	0.0	0.0	1.5	0.0
52	52	1/2	1/2	3/2	3	1	V					g	i		V	V							M	1	1	2, 6, 3		2.0	2.0	0	4	0.0	0.0	2.5	0.0
53	53	0	0	3/2	3	1	i					g	i		i	i							m	1	1	1, -2, 2		1.0	1.0	0	2	0.0	0.0	1.0	0.0
53	53	1/2	1/2	3/2	3	1	V					g	i		V	V							M	1	1	2, 6, 3		2.0	2.0	0	3	0.0	0.0	1.5	0.0
53	53	1	1	3/2	3	1	V/ii					g	i		V/ii	V				ii			M	1	1	4, 8, 5		4.0	4.0	0	2	0.0	0.0	1.0	0.0
54	54	0	0	3/2	3	1	ii					g	i		ii	ii							m	1	1	3, 0, 4		3.0	3.0	0	2	0.0	0.0	1.0	0.0
54	54	1/2	1/2	3/2	3	1	V/ii					g	i		V/ii	V				ii			M	1	1	4, 8, 5		4.0	4.0	1	4	0.2	0.5	2.5	0.16666666666666666
55	55	0	0	3/2	3	1	ii					g	i		ii	ii							m	1	1	3, 0, 4		3.0	3.0	0	3	0.0	0.0	1.5	0.0
55	55	1/2	1/2	3/2	3	1	V/ii					g	i		V/ii	V				ii			M	1	1	4, 8, 5		4.0	4.0	2	3	0.4	1.0	2.0	0.3333333333333333
56	56	0	0	3/2	3	1	ii					g	i		ii	ii							m	1	1	3, 0, 4		3.0	3.0	0	3	0.0	0.0	2.25	0.0
56	56	3/4	3/4	3/2	3	1	VII/ii					g	i		VII/ii	VII				ii			M	1	1	1, 5, 2		1.0	1.0	0	3	0.0	0.0	0.75	0.0
