mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
103	103	1/2	1/2	4/4	6	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	0	5	0.0	0.0	1.5	0.0
104	104	0	0	4/4	6	1	i\\	I\\	g	i		i	i						\\	m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	1.375	0.0
104	104	1/2	1/2	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	2	7	0.2222222222222222	0.25	2.0	0.1111111111111111
105	105	1/2	1/2	4/4	6	1	VII		g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	4	10	0.2857142857142857	0.5	3.0	0.14285714285714285
106	106	3/4	3/4	4/4	6	1	v		g	i		v	v							m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	0.625	0.0
107	107	0	0	4/4	6	1	IV/III		g	i		IV/III	IV				III			M	1	1	-3, 1, -2		-3	-3	1	3	0.25	0.125	0.625	0.16666666666666666
107	107	1/4	1/4	4/4	6	1	V7/III		g	i		V7/III	V		7		III			Mm7	1	1	-1, 3, 0, -3		-1	-1	0	4	0.0	0.0	0.75	0.0
107	107	1/2	1/2	4/4	6	1	III\\		g	i		III	III						\\	M	1	1	-2, 2, -1		-2	-2	1	4	0.2	0.125	1.25	0.09090909090909091
108	108	0	0	4/4	6	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	0.75	0.0
108	108	1/4	1/4	4/4	6	1	VII		g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.875	0.0
